Date,Open,High,Low,Close
09/04/2024,"18,832.64","19,070.82","18,808.76","18,921.40"
09/03/2024,"19,438.11","19,438.11","18,869.81","18,958.73"
08/30/2024,"19,506.27","19,582.17","19,326.61","19,574.64"
08/29/2024,"19,425.28","19,622.73","19,281.65","19,325.45"
08/28/2024,"19,567.45","19,587.04","19,221.48","19,350.78"
08/27/2024,"19,450.57","19,617.92","19,369.53","19,581.52"
08/26/2024,"19,679.24","19,726.90","19,437.34","19,516.44"
08/23/2024,"19,669.78","19,818.40","19,526.64","19,720.87"
08/22/2024,"19,911.28","19,938.89","19,459.86","19,491.84"
08/21/2024,"19,758.47","19,885.34","19,690.64","19,824.84"
08/20/2024,"19,736.35","19,835.38","19,652.18","19,719.82"
08/19/2024,"19,521.93","19,767.43","19,445.10","19,766.49"
08/16/2024,"19,393.73","19,561.24","19,376.72","19,508.52"
08/15/2024,"19,251.86","19,502.92","19,239.94","19,490.15"
08/14/2024,"19,043.76","19,103.00","18,837.10","19,022.68"
08/13/2024,"18,724.84","19,013.01","18,723.74","19,006.43"
08/12/2024,"18,548.23","18,665.75","18,433.61","18,542.03"
08/09/2024,"18,373.89","18,567.63","18,313.78","18,513.10"
08/08/2024,"18,102.05","18,445.41","17,965.07","18,413.82"
08/07/2024,"18,345.45","18,445.75","17,851.08","17,867.37"
08/06/2024,"17,961.45","18,368.68","17,858.82","18,077.92"
08/05/2024,"17,444.40","18,169.49","17,435.39","17,895.16"
08/02/2024,"18,494.24","18,628.78","18,263.50","18,440.84"
08/01/2024,"19,375.97","19,538.98","18,737.09","18,890.39"
07/31/2024,"19,222.85","19,426.62","19,162.91","19,362.43"
07/30/2024,"19,129.56","19,165.42","18,667.22","18,796.27"
07/29/2024,"19,122.43","19,224.59","18,974.51","19,059.49"
07/26/2024,"18,990.20","19,142.68","18,899.31","19,023.66"
07/25/2024,"19,041.15","19,227.20","18,721.71","18,830.58"
07/24/2024,"19,475.66","19,482.55","19,005.47","19,032.39"
07/23/2024,"19,783.33","19,904.60","19,736.23","19,754.34"
07/22/2024,"19,751.02","19,861.72","19,638.37","19,822.87"
07/19/2024,"19,687.80","19,784.48","19,479.38","19,522.62"
07/18/2024,"19,936.24","19,947.98","19,575.79","19,705.09"
07/17/2024,"20,041.31","20,080.27","19,793.75","19,799.14"
07/16/2024,"20,441.53","20,477.00","20,266.51","20,398.62"
07/15/2024,"20,401.02","20,585.17","20,304.53","20,386.88"
07/12/2024,"20,226.23","20,526.09","20,217.99","20,331.49"
07/11/2024,"20,661.41","20,672.10","20,165.00","20,211.36"
07/10/2024,"20,533.27","20,690.97","20,479.94","20,675.38"
07/09/2024,"20,504.17","20,543.90","20,395.57","20,453.02"
07/08/2024,"20,393.89","20,455.38","20,363.37","20,439.54"
07/05/2024,"20,224.13","20,406.99","20,201.50","20,391.97"
07/03/2024,"19,995.28","20,186.63","19,995.28","20,186.63"
07/02/2024,"19,746.23","20,014.91","19,741.81","20,011.89"
07/01/2024,"19,720.11","19,827.75","19,577.54","19,812.22"
06/28/2024,"19,817.01","20,017.72","19,665.85","19,682.87"
06/27/2024,"19,740.52","19,850.81","19,701.34","19,789.03"
06/26/2024,"19,671.07","19,763.55","19,654.18","19,751.05"
06/25/2024,"19,555.84","19,712.42","19,523.51","19,701.13"
06/24/2024,"19,648.23","19,723.20","19,472.53","19,474.62"
06/21/2024,"19,722.37","19,801.97","19,643.52","19,700.43"
06/20/2024,"19,962.97","19,979.93","19,685.03","19,752.30"
06/18/2024,"19,904.43","19,940.50","19,837.86","19,908.86"
06/17/2024,"19,681.86","19,977.84","19,623.72","19,902.75"
06/14/2024,"19,557.22","19,664.59","19,534.62","19,659.80"
06/13/2024,"19,609.05","19,639.45","19,473.71","19,576.92"
06/12/2024,"19,358.26","19,556.90","19,347.28","19,465.18"
06/11/2024,"19,031.40","19,212.64","18,966.56","19,210.18"
06/10/2024,"18,945.31","19,089.84","18,940.71","19,074.67"
06/07/2024,"18,992.58","19,113.88","18,958.68","19,000.95"
06/06/2024,"19,053.01","19,071.79","18,978.86","19,021.19"
06/05/2024,"18,791.28","19,035.87","18,768.25","19,035.05"
06/04/2024,"18,598.00","18,697.95","18,521.85","18,654.84"
06/03/2024,"18,666.72","18,707.22","18,392.57","18,600.97"
05/31/2024,"18,550.80","18,574.56","18,189.78","18,536.65"
05/30/2024,"18,683.25","18,705.26","18,487.76","18,538.66"
05/29/2024,"18,708.07","18,814.81","18,706.63","18,736.75"
05/28/2024,"18,855.15","18,875.20","18,755.95","18,869.44"
05/24/2024,"18,669.36","18,851.99","18,664.79","18,808.35"
05/23/2024,"18,907.14","18,907.54","18,554.89","18,623.39"
05/22/2024,"18,733.55","18,756.69","18,606.16","18,705.20"
05/21/2024,"18,603.99","18,721.18","18,589.91","18,713.80"
05/20/2024,"18,559.22","18,703.83","18,549.84","18,674.19"
05/17/2024,"18,571.82","18,590.37","18,462.25","18,546.23"
05/16/2024,"18,589.98","18,669.50","18,553.30","18,557.96"
05/15/2024,"18,412.81","18,607.53","18,359.32","18,596.65"
05/14/2024,"18,187.51","18,339.58","18,175.30","18,322.77"
05/13/2024,"18,228.40","18,233.49","18,147.57","18,198.61"
05/10/2024,"18,171.15","18,247.61","18,099.73","18,161.18"
05/09/2024,"18,095.80","18,138.02","18,012.62","18,113.46"
05/08/2024,"17,987.71","18,135.34","17,987.71","18,085.01"
05/07/2024,"18,106.33","18,156.32","18,061.61","18,091.45"
05/06/2024,"17,950.98","18,094.46","17,937.28","18,093.57"
05/03/2024,"17,848.66","17,926.98","17,784.78","17,890.80"
05/02/2024,"17,474.91","17,575.81","17,290.64","17,541.54"
05/01/2024,"17,382.78","17,667.86","17,284.37","17,318.55"
04/30/2024,"17,720.35","17,768.87","17,440.69","17,440.69"
04/29/2024,"17,801.14","17,820.00","17,671.03","17,782.72"
04/26/2024,"17,566.22","17,772.78","17,533.08","17,718.30"
04/25/2024,"17,205.28","17,474.46","17,172.42","17,430.50"
04/24/2024,"17,613.66","17,653.66","17,435.33","17,526.80"
04/23/2024,"17,297.24","17,513.31","17,277.26","17,471.47"
04/22/2024,"17,161.11","17,305.15","17,010.26","17,210.89"
04/19/2024,"17,334.71","17,362.28","16,973.94","17,037.65"
04/18/2024,"17,514.77","17,590.81","17,376.49","17,394.31"
04/17/2024,"17,785.82","17,788.54","17,459.57","17,493.62"
04/16/2024,"17,691.45","17,817.73","17,660.89","17,713.66"
04/15/2024,"18,143.26","18,152.08","17,676.35","17,706.83"
04/12/2024,"18,117.67","18,166.49","17,952.09","18,003.49"
04/11/2024,"18,085.11","18,337.15","17,998.25","18,307.98"
04/10/2024,"17,957.96","18,040.83","17,932.41","18,011.65"
04/09/2024,"18,188.87","18,210.02","17,973.07","18,169.90"
04/08/2024,"18,130.44","18,178.66","18,050.69","18,100.19"
04/05/2024,"17,940.28","18,202.96","17,912.86","18,108.46"
04/04/2024,"18,331.02","18,362.29","17,875.75","17,878.78"
04/03/2024,"18,054.45","18,238.66","18,045.42","18,160.19"
04/02/2024,"18,076.43","18,135.57","18,002.27","18,121.78"
04/01/2024,"18,280.82","18,391.58","18,211.28","18,293.20"
03/28/2024,"18,263.41","18,308.32","18,231.38","18,254.69"
03/27/2024,"18,338.19","18,344.09","18,168.20","18,280.84"
03/26/2024,"18,329.29","18,378.70","18,207.88","18,210.54"
03/25/2024,"18,215.55","18,337.35","18,189.28","18,277.06"
03/22/2024,"18,293.15","18,386.25","18,267.49","18,339.44"
03/21/2024,"18,438.24","18,464.70","18,317.10","18,320.38"
03/20/2024,"18,067.70","18,249.12","18,003.24","18,240.11"
03/19/2024,"17,902.52","18,039.82","17,809.15","18,032.20"
03/18/2024,"18,024.24","18,124.32","17,973.09","17,985.01"
03/15/2024,"17,926.92","17,930.47","17,764.99","17,808.25"
03/14/2024,"18,114.69","18,142.90","17,913.63","18,014.81"
03/13/2024,"18,151.76","18,163.74","18,030.40","18,068.47"
03/12/2024,"18,063.02","18,228.37","17,919.33","18,219.11"
03/11/2024,"17,959.68","18,003.05","17,873.33","17,951.69"
03/08/2024,"18,312.79","18,416.73","17,995.38","18,018.45"
03/07/2024,"18,161.73","18,337.95","18,101.43","18,297.99"
03/06/2024,"18,083.51","18,142.88","17,941.65","18,017.57"
03/05/2024,"18,088.71","18,097.50","17,804.49","17,897.87"
03/04/2024,"18,290.10","18,313.43","18,218.24","18,226.48"
03/01/2024,"18,069.29","18,333.26","18,064.44","18,302.91"
02/29/2024,"17,991.67","18,068.52","17,866.26","18,043.85"
02/28/2024,"17,895.03","17,931.01","17,840.36","17,874.50"
02/27/2024,"17,962.58","17,987.54","17,871.06","17,971.05"
02/26/2024,"17,970.21","18,014.11","17,926.66","17,933.33"
02/23/2024,"18,052.59","18,091.62","17,902.78","17,937.61"
02/22/2024,"17,857.76","18,034.81","17,808.26","18,004.70"
02/21/2024,"17,412.79","17,482.13","17,319.44","17,478.91"
02/20/2024,"17,591.17","17,657.08","17,399.41","17,546.10"
02/16/2024,"17,853.59","17,864.16","17,663.40","17,685.98"
02/15/2024,"17,815.32","17,864.59","17,722.31","17,845.72"
02/14/2024,"17,728.90","17,815.18","17,619.92","17,807.63"
02/13/2024,"17,519.80","17,717.67","17,478.23","17,600.42"
02/12/2024,"17,942.28","18,041.45","17,859.66","17,882.66"
